# ID RA DEC Class f435w_flux_nJy f435w_fluxerr_nJy f606w_flux_nJy f606w_fluxerr_nJy f814w_flux_nJy f814w_fluxerr_nJy f090w_flux_nJy f090w_fluxerr_nJy f150w_flux_nJy f150w_fluxerr_nJy f200w_flux_nJy f200w_fluxerr_nJy f277w_flux_nJy f277w_fluxerr_nJy f356w_flux_nJy f356w_fluxerr_nJy f444w_flux_nJy f444w_fluxerr_nJy log_Mstar_DB_50 log_Mstar_DB_16 log_Mstar_DB_84 log_sSFR_DB_50 log_sSFR_DB_16 log_sSFR_DB_84 t_peak_DB_50 t_peak_DB_16 t_peak_DB_84 Av_DB_50 Av_DB_16 Av_DB_84 logZsol_DB_50 logZsol_DB_16 logZsol_DB_84 log_Mstar_SSP log_age_SSP logZsol_SSP Av_SSP chi2_DB_SSP_ratio
1 7:23:21.8601 -73:27:18.193 GC nan 3.6343440309089012 nan 2.176219554347221 nan 3.233789094063889 2.40013042637483 2.267558361523159 20.1240170055713 5.324062904816076 41.05118258153752 5.029401265884394 51.280679059795396 7.208994453780907 46.60463326044641 7.195012270794511 25.695148422501944 6.226312579216757 8.263500000001423 8.145500000001386 8.383500000001463 -12.050000000000011 -13.250000000000007 -10.850000000000016 4.101880281240169 2.6018802812401693 4.512068309364186 0.2995 0.0815 0.6785 -0.510500000000109 -1.0855000000000457 -0.016500000000163384 8.656400288612396 4.368608954378967 -0.5000013570779822 0.10781690836929829 1.0145438160841282
2 7:23:21.6959 -73:27:18.275 GC nan 3.6343440309089012 nan 2.176219554347221 nan 3.233789094063889 3.0030144945918025 2.2569303354373647 17.11301948153542 5.327150631586758 72.03772559672684 5.042322180092382 67.6808497058949 7.193697765302323 95.95940846657989 7.205583850724365 61.41508705651431 6.158738633577559 8.573500000001529 8.475500000001494 8.67150000000156 -12.25000000000001 -13.350000000000005 -11.050000000000015 4.0107273861014985 2.5107273861014985 4.512068309364186 0.4805 0.1565 0.9115 -0.33350000000012847 -0.882500000000068 0.04749999999982957 8.87088243409557 3.1622884906559836 -0.2557621869524261 0.43432719159349326 1.0292202155138563
3 7:23:21.6889 -73:27:18.685 C nan 3.6343440309089012 nan 2.176219554347221 nan 3.233789094063889 19.0522070988191 2.337678296049312 22.248756509478508 5.278378656786391 41.529154797416275 5.0874052354492925 73.76013975078035 7.238055999998966 55.92749155158359 7.173550817505856 62.44986044364497 6.213181922401299 8.419500000001475 8.318500000001443 8.52350000000151 -12.050000000000011 -13.250000000000007 -10.850000000000016 0.6836467135400284 0.6836467135400284 1.9836467135400286 0.2765 0.0745 0.6174999999999999 -0.47350000000011305 -1.054500000000049 0.010499999999833642 8.41443456452635 1.2589253711469561 -0.5518998568702332 0.22972010142429683 1.2721062558725287
4 7:23:21.8724 -73:27:18.857 GC nan 3.6343440309089012 nan 2.176219554347221 nan 3.233789094063889 nan 1.5101864500384976 35.21450078491124 5.27960062845655 35.97287925951339 5.122153889671825 75.72322350046015 7.228215054742267 58.006161340597195 7.209271890738454 68.211735479363 6.221962151530552 8.573500000001529 8.478500000001496 8.682500000001564 -12.15000000000001 -13.350000000000005 -10.950000000000014 3.873998043393493 2.273998043393493 4.3739980433934935 1.2795 0.7815 1.8155 -0.11150000000015292 -0.6685000000000916 0.15649999999981756 8.97577009651123 4.5 0.0 1.0 1.0030932551684688
5 7:23:21.9353 -73:27:18.805 E nan 3.6343440309089012 20.275365304268774 3.238117940410374 52.40541140416903 4.48612278598336 25.704530823933208 2.4054218328703634 48.47284178572036 5.277124959891266 44.431830537429754 5.088043904771053 60.00616225411815 7.238925658429328 57.20622693186535 7.210015362073195 53.26459579177974 6.6224858318863955 8.344500000001451 8.236500000001415 8.449500000001487 -11.550000000000011 -13.150000000000006 -10.050000000000018 0.3190351329853467 0.3190351329853467 2.019035132985347 0.1495 0.0375 0.3905 -1.0425000000000504 -1.372500000000014 -0.45450000000011515 8.492876049166671 0.5623413456521607 -1.469538965509846 0.6017834278915228 1.047120667341763
6 7:23:21.9580 -73:27:19.141 E nan 3.6343440309089012 20.98119045141666 3.2810219005319365 nan 3.233789094063889 17.660654012154698 2.4226805448725197 34.82170971185164 5.2792813693728124 32.122010641463156 5.141745562848804 33.99459674918304 7.3435613963416015 27.73997430342275 7.1569647432002785 26.674172100848512 6.129573679504032 8.145500000001386 8.006500000001338 8.268500000001426 -11.050000000000015 -12.950000000000006 -9.550000000000018 0.8659525038173692 0.06595250381736895 2.665952503817369 0.1635 0.0395 0.47450000000000003 -1.0155000000000534 -1.3685000000000145 -0.4115000000001199 8.227656902236642 0.7079465443935327 -1.4977042722963736 0.22256210741541493 0.9500561017407471
7 7:23:21.7868 -73:27:19.342 B 13.980672699602795 4.568842704592192 21.195749031902526 3.1567381670380232 46.51664428594327 4.536175752201808 72.54000194940801 1.775484782257223 69.74107195722546 5.347358956798499 82.66613218737126 5.071332588385273 60.360202409094875 7.099503670157581 98.49409084990309 7.02824097572604 43.27658298016785 6.086534313714171 8.199500000001402 7.717500000001241 8.34050000000145 -8.95000000000002 -9.750000000000018 -8.050000000000026 0.2734586854160117 0.2734586854160117 0.5234586854160117 0.1805 0.0275 0.4945 -0.8225000000000746 -1.4285000000000079 -0.5425000000001055 8.45000447255445 0.3945078420184812 -1.5 0.0 0.7195547060314004
8 7:23:21.6679 -73:27:19.842 GC 33.513209329096746 4.7174918263048395 nan 2.176219554347221 nan 3.233789094063889 17.39533193385905 2.2984034479496063 77.23131217098951 5.286682757254342 91.61750349477052 5.084015334180115 104.96229684145798 7.253405966030254 111.25448209655767 7.1991958414100115 75.11727880256795 6.206890694365471 8.674500000001562 8.593500000001535 8.76050000000159 -12.350000000000009 -13.350000000000005 -11.250000000000014 4.0563038336708335 2.4563038336708334 4.512068309364186 0.2325 0.0635 0.4935 -0.7325000000000845 -1.1415000000000395 -0.2595000000001366 9.058092047926426 4.466841242969794 -0.9999999427742653 0.1100977022256476 0.9777765361269615
9 7:23:21.6696 -73:27:16.909 C nan 3.6343440309089012 nan 2.176219554347221 67.54602242626484 4.575836850440914 6.399287080017927 2.3483988248444945 19.79582858413137 5.250344392497582 22.36420161774218 5.114705895757597 21.51643007958772 7.332753496933757 10.536924635068857 7.143599388860373 12.083693154482392 6.172961039848832 7.959500000001322 7.822500000001277 8.096500000001368 -11.75000000000001 -13.150000000000006 -10.350000000000016 4.0107273861014985 3.0107273861014985 4.512068309364186 0.2165 0.0555 0.5515 -0.7205000000000858 -1.2495000000000276 -0.11850000000015215 8.344909376700494 4.466921703320877 -1.5 0.0 0.9432188889832225
10 7:23:21.7955 -73:27:17.372 GC nan 3.6343440309089012 nan 2.176219554347221 nan 3.233789094063889 7.445056471284942 2.342955854255595 52.99463454516668 5.286349751024998 60.52923471335819 5.083993005093338 82.81150985022495 7.230434616231149 88.50389518937284 7.209207338657138 74.94772568637062 6.219627975731071 8.58250000000153 8.493500000001502 8.674500000001562 -12.25000000000001 -13.350000000000005 -11.150000000000013 4.101880281240169 2.6018802812401693 4.512068309364186 0.3425 0.0975 0.7144999999999999 -0.3605000000001255 -0.8855000000000677 0.03349999999983111 8.966308992658178 4.496865388438256 -0.500001352313115 0.1754470184449921 0.9323839806193578
