#Spectroscopic redshift catalogue from Noirot et al.
#See Table B1 in Noirot et al. for a description of catalogue entries 
ID RA DEC FLUX_F435W FLUXERR_F435W FLUX_F606W FLUXERR_F606W FLUX_F814W FLUXERR_F814W FLUX_F090W FLUXERR_F090W FLUX_F150W FLUXERR_F150W FLUX_F200W FLUXERR_F200W FLUX_F277W FLUXERR_F277W FLUX_F356W FLUXERR_F356W FLUX_F444W FLUXERR_F444W Z_GRISM ZERR_GRISM Q_FLAG Z_SPEC REF_SPEC FLAG_MERGE_GRISM FLAG_MERGE_SPEC MU
244 110.79571704494859 -73.47856597807495 730.7288741718628 60.332949245918044 3767.4909825005616 34.17903585651165 8127.877607388433 39.890539282096825 "" "" "" "" "" "" "" "" "" "" "" "" 0.3941152303557494 0.0020760411940208834 1 "" "" False False 1.00666231789436
311 110.82778964307958 -73.4746373293258 283.08548067849307 146.9037903631735 3667.3783305817833 63.9754969234219 8301.88388565967 89.35420563810416 11326.548851764239 29.369762138637174 19625.740223669003 27.63246081843746 22930.481049065147 18.463217850382126 20229.10373761887 10.821424240111208 12422.155079645263 9.194128210424685 9781.04603024064 11.625461019333653 0.3963960420470626 0.0012667509661793697 1 "" "" False False 1.0108805280224018
329 110.80348014837284 -73.47405613986629 263.16415268833674 59.11207540028645 572.2620717150847 27.075369033559227 1212.7281770834256 35.64876775313313 1473.5659008594157 11.79114819697007 2604.455012180808 10.896802332648702 3098.869254361891 7.1357694028811975 3555.9973048086013 4.353686107578908 3097.011166919561 3.9600057381379052 2296.009196175813 4.879738352840538 0.7387617323245874 0.0006336676674200681 1 "" "" False False 1.2685255917941982
343 110.79912557420919 -73.47301472993938 187.9618869069895 67.55902876103312 180.76848153018153 31.129447057114646 404.4835820515869 47.164551451796946 483.05407310817446 12.312901032960156 660.6107217471141 11.766112918118578 706.0877501202478 7.086408827559706 633.1081988576651 4.170381997991918 464.30732720229145 3.861632081070521 309.7374817780009 5.29993865155035 0.8225804068606664 0.0016664310373855074 2 "" "" False False 1.3213189701052055
367 110.84062084680696 -73.47170557931817 -119.66149641103566 108.7104345669499 111.00552374604024 25.324413439902727 173.77567070410092 39.28594494565016 229.2115080978829 10.93182008639402 715.0091055124277 10.528252058365556 759.6229534847577 6.391135884903775 825.4455364819546 3.672719132618899 869.0900098122772 3.4348353916648438 921.652281329919 4.576476027173337 2.118172158303012 0.003046237224795023 1 "" "" False False 1.6910199092846476
370 110.83660476670373 -73.47163287868655 286.0683240284035 54.11406509461794 279.171271026193 23.149271993959758 524.4063333068563 31.49758775259231 532.7330067044987 7.978857182114735 654.7486448053363 7.666455656955615 646.51414148956 4.653728711401371 659.7975314171586 2.926388980984357 528.7877157197568 2.658091488799668 371.5720706576301 3.5151919996081933 0.7477085555826688 0.5423236665116145 2 "" "" True False 1.3352773869480934
376 110.79517784667321 -73.47135388050543 290.2125101110831 77.79342706406695 540.5658658817047 35.20474484658001 883.7124271701308 47.16962123385911 1202.6072898800187 14.613859628570093 2780.926936916614 14.014946855655866 3406.4563671884794 8.942681525961483 3717.4884592395647 5.266653407364755 4276.07946756443 4.992860941573076 4761.532631862996 6.419772740708406 1.9661361630836198 0.0016852087739302182 1 "" "" True False 1.6114860413816465
387 110.79647336312186 -73.47057459703875 -25.10797655323507 60.21831719775514 111.96393610204008 27.719644213790705 285.00360279695343 36.26920866846449 457.28791735640095 10.297986344259426 1537.1534290300945 9.990736352805376 2748.001850041957 6.6354814732912795 3980.1993164257547 4.560163602078519 5510.084569496267 4.578248928015189 6961.359369831052 5.748317927650644 1.969664915497152 0.0005318674486235464 1 "" "" False False 1.6541819339718615
389 110.84717629362581 -73.4703829387237 1148.2450387133267 115.85590242020723 1257.6873897667328 56.70584309064665 1035.392339788252 67.32072624972199 1542.9058431335868 20.012047517464325 3641.1435284289523 18.946201771939506 4243.059889272356 11.865887235167987 4172.645166897083 6.823099864750683 4296.611251290574 6.348244570405546 4499.560881100248 8.375834422944434 1.953916344598067 0.0022420676003395146 2 "" "" False False 1.7381959328985395
402 110.82995124726676 -73.46992842234536 40.259614813893485 33.22631002868133 98.36516796765918 14.272210387714527 70.93462303028801 19.83829477261914 157.74846095069057 4.919227443427114 294.96595478507686 4.746024096895141 297.8877104729577 3.0305322424933188 322.15328081765455 1.8325285821662942 332.1015211734651 1.6810948995529853 328.44525100071434 2.237133578015251 1.383246244445284 0.1709443981106915 2 "" "" False False 1.6814670447891238
406 110.82903450396778 -73.4692722215267 707.776141638698 91.89557815236775 3343.430837176661 42.46742095604337 8625.74494972366 57.34643617835189 10875.115310198673 15.737145465847838 22652.702296534208 16.38930356371416 27560.490102904023 12.287485226097305 25544.111241847473 8.473745935118261 15838.452039907595 6.401833870532104 12665.530517766812 7.03777386400839 0.3968593400107172 0.0007405499830192008 1 "" "" False False 1.0290053280149358
407 110.85890345705529 -73.4693007430972 415.7514738951172 101.4904945301489 3504.0263122795277 46.001691581922415 8344.594330746942 64.87975994325157 10340.4619635338 26.279881171915875 20560.984198447095 23.2616363533629 24434.279085070604 18.63316601475924 23556.56948221625 10.238056425168105 14603.624627170586 7.98518214506008 11560.075161985005 9.065060192103534 0.4075889893763096 0.0019781379609047633 1 "" "" False False 1.0751005098703004
