ID RA DEC F435W F435We F438WU F438WUe F606W F606We F606WU F606WUe F814W F814We F090W F090We F115W F115We F140M F140Me F150W F150We F162M F162Me F182M F182Me F200W F200We F210M F210Me F250M F250Me F277W F277We F300M F300Me F335M F335Me F356W F356We F360M F360Me F410M F410Me F444W F444We F105W F105We F125W F125We F140W F140We F160W F160We z50_phos z16_phos z84_phos zb_phos zb_eazy zspec zspec_e mu50 mu16 mu84 mass50_DB mass16_DB mass84_DB mass50_BP mass16_BP mass84_BP
3107165 64.03923107648018 -24.0931975011231 -3.16 6.42 -99.0 -99.0 4.61 6.41 -99.0 -99.0 2.73 6.4 -3.38 6.73 55.86 6.73 -99.0 -99.0 126.21 6.62 -99.0 -99.0 -99.0 -99.0 154.03 6.54 -99.0 -99.0 -99.0 -99.0 148.75 6.44 -99.0 -99.0 -99.0 -99.0 203.69 6.43 -99.0 -99.0 168.87 6.67 462.17 6.12 12.49 6.44 87.38 6.54 110.52 6.57 117.51 6.57 8.35 8.29 8.42 8.35 8.83 8.3184 0.0001 1.63 1.62 1.65 8.98 8.56 9.51 8.55 8.45 8.57
3114647 64.03886542725472 -24.04458960363088 -0.84 8.74 -99.0 -99.0 1.92 8.73 -99.0 -99.0 -1.89 8.72 4.92 9.82 22.35 9.75 -99.0 -99.0 47.13 9.51 -99.0 -99.0 -99.0 -99.0 27.0 9.2 -99.0 -99.0 -99.0 -99.0 33.52 8.87 -99.0 -99.0 -99.0 -99.0 45.49 8.86 -99.0 -99.0 33.25 9.37 94.2 8.15 -13.63 12.73 32.24 12.03 -99.0 -99.0 40.59 14.76 8.23 7.99 8.54 8.18 8.14 8.1267 0.0006 1.54 1.53 1.56 8.23 7.59 9.01 7.77 7.74 7.86
3212918 64.1632462843817 -24.09012454885316 -6.22 4.03 -99.0 -99.0 -1.59 3.68 -99.0 -99.0 -10.4 6.38 -1.17 3.53 23.49 3.54 19.64 4.04 25.83 3.47 23.04 4.0 24.84 3.58 -99.0 -99.0 30.6 3.65 23.54 4.21 24.73 3.35 28.64 3.68 31.39 3.52 -99.0 -99.0 41.84 3.53 85.86 3.55 73.79 3.11 12.27 8.58 20.3 8.82 -99.0 -99.0 33.97 10.99 7.61 7.57 8.53 7.6 7.41 -99.0 -99.0 1.05 1.05 1.05 8.93 7.81 9.37 7.78 7.74 7.84
2104427 40.004548723468524 -1.6245852007348796 -99.0 -99.0 -99.0 -99.0 4.85 11.58 -99.0 -99.0 25.09 10.88 2.94 5.13 20.37 5.15 -99.0 -99.0 34.29 5.1 -99.0 -99.0 -99.0 -99.0 29.96 5.08 -99.0 -99.0 -99.0 -99.0 26.68 4.95 -99.0 -99.0 -99.0 -99.0 30.17 4.97 -99.0 -99.0 24.81 5.22 71.76 4.6 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 8.15 7.96 8.33 8.2 8.32 -99.0 -99.0 1.52 1.49 1.55 7.81 7.4 8.55 7.54 7.52 7.54
2112549 39.99494713592273 -1.574827651808287 0.76 5.55 -99.0 -99.0 -1.16 5.56 -99.0 -99.0 0.93 5.53 -0.49 5.83 18.59 5.87 -99.0 -99.0 35.89 5.79 -99.0 -99.0 -99.0 -99.0 27.05 5.7 -99.0 -99.0 -99.0 -99.0 25.38 5.54 -99.0 -99.0 -99.0 -99.0 26.96 5.55 -99.0 -99.0 28.25 5.85 70.54 5.16 6.01 10.31 25.78 10.27 -99.0 -99.0 28.15 8.91 8.19 7.96 8.41 8.22 8.57 8.2434 0.0011 2.14 2.08 2.26 7.87 7.29 8.62 7.41 7.39 7.43
2112691 39.99483662586419 -1.574133973507616 -2.89 6.21 -99.0 -99.0 1.8 6.22 -99.0 -99.0 -1.66 6.2 -4.46 6.47 28.73 6.51 -99.0 -99.0 47.64 6.43 -99.0 -99.0 -99.0 -99.0 49.68 6.37 -99.0 -99.0 -99.0 -99.0 47.37 6.21 -99.0 -99.0 -99.0 -99.0 56.37 6.23 -99.0 -99.0 115.89 6.55 144.79 5.83 3.05 10.82 55.17 11.37 -99.0 -99.0 67.64 9.49 8.68 7.67 8.92 7.67 8.44 -99.0 -99.0 2.13 2.08 2.24 8.89 7.9 9.26 7.79 7.74 7.81
2113083 39.95544902302611 -1.5726176812023334 -0.99 5.74 -99.0 -99.0 1.27 5.7 -99.0 -99.0 -0.56 5.66 0.5 6.0 26.54 6.05 -99.0 -99.0 37.18 5.95 -99.0 -99.0 -99.0 -99.0 31.56 5.87 -99.0 -99.0 -99.0 -99.0 30.12 5.68 -99.0 -99.0 -99.0 -99.0 35.08 5.69 -99.0 -99.0 74.68 5.96 86.79 5.29 20.6 5.71 37.4 5.87 40.22 5.95 43.41 5.91 7.65 7.62 7.68 7.64 7.65 7.6496 0.0005 2.93 2.88 2.99 7.87 7.23 8.65 7.36 7.32 7.42
2222435 40.04675676012181 -1.5865788181737002 -99.0 -99.0 -99.0 -99.0 -7.62 13.31 -99.0 -99.0 -2.66 10.12 -1.8 3.42 26.75 3.45 36.08 4.1 28.63 3.37 26.69 3.97 23.74 3.45 -99.0 -99.0 30.48 3.58 20.45 3.99 26.83 3.24 25.21 3.6 25.23 3.41 -99.0 -99.0 24.78 3.41 130.58 3.47 74.57 2.98 3.63 9.59 17.01 10.19 -99.0 -99.0 19.71 14.31 7.25 7.19 7.33 7.22 7.36 -99.0 -99.0 1.2 1.19 1.2 7.69 7.42 8.26 7.59 7.56 7.6
5112687 177.3909289107813 22.349766707281617 -99.0 -99.0 -99.0 -99.0 1.63 7.66 -99.0 -99.0 8.51 8.51 -6.49 6.34 28.84 6.42 -99.0 -99.0 72.14 6.25 -99.0 -99.0 -99.0 -99.0 65.83 6.11 -99.0 -99.0 -99.0 -99.0 69.83 5.83 -99.0 -99.0 -99.0 -99.0 81.97 5.84 -99.0 -99.0 129.44 6.18 190.29 5.36 -5.07 8.11 -99.0 -99.0 -99.0 -99.0 74.45 11.16 8.95 8.79 9.17 8.94 8.92 -99.0 -99.0 1.06 1.05 1.06 9.48 8.81 9.7 9.29 8.43 9.56
5201389 177.38066906162788 22.268024227074008 -99.0 -99.0 -99.0 -99.0 10.29 7.62 -99.0 -99.0 -21.14 8.86 -1.28 3.48 34.79 3.51 32.24 4.12 38.45 3.4 -99.0 -99.0 29.18 3.55 -99.0 -99.0 32.97 3.62 -99.0 -99.0 46.01 3.32 62.89 3.69 62.82 3.47 -99.0 -99.0 62.18 3.52 285.42 3.56 167.28 3.1 27.42 8.62 48.45 8.29 -99.0 -99.0 52.08 12.2 7.29 7.2 7.38 7.31 7.36 -99.0 -99.0 1.0 1.0 1.0 8.32 8.1 8.79 8.28 8.19 8.31
